,"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231
,concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
9,dart_PurchaseOfOtherNonCurrentFinancialAssets,기타장기금융자산의 증가,Purchase of other non-current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타장기금융자산의 증가,-617021688.0,5584640140.0,-593516382.0,-999059402.0,-241972746.0,8438881050.0,-3158119989.0,-2424753851.0,-1691293179.0,8696259407.0,-4888161463.0,-3514040092.0,-2002489969.0,-15468331673.0,-6346939834.0,-4245212020.0,-1493902681.0,-9459582799.0,-4488820099.0,-2439139523.0,-872523856.0,-6589946888.0,-6140716720.0,2622532478.0,-1620324303.0,-15108437875.0,-15368714317.0,7441306608.0,-2323730647.0,-7195113998.0,-3040456518.0,61992000.0,-21598509.0,-13218308879.0,-25232346619.0,,,
10,dart_ProceedsFromSalesOfOtherNonCurrentFinancialAssets,기타장기금융자산의 감소,Proceeds from sales of other non-current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타장기금융자산의 감소,-617021688.0,469104196.0,-593516382.0,49165000.0,-241972746.0,7307466177.0,-3158119989.0,1554307110.0,-1691293179.0,7632536280.0,-4888161463.0,3257291245.0,-2002489969.0,14573047970.0,-6346939834.0,3156550780.0,-1493902681.0,9574694004.0,-4488820099.0,2841701574.0,-872523856.0,6691082753.0,-6140716720.0,-3949454361.0,-1620324303.0,19915842473.0,-15368714317.0,-1626132085.0,-2323730647.0,5459071211.0,-3040456518.0,-2543092297.0,-21598509.0,12328716811.0,22385402920.0,,,
11,entity00170558_udf_CF_2019326181746565_CashFlowsFromUsedInInvestingActivities,매도가능금융자산의 감소,Decrease in Available-for-Sale Financial Assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 감소,,,,,,,,,,12500000.0,,,,,,,,192854.0,,,,,,,,,,,,,255928131.0,,194115241.0,,,,,
12,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,-155346600538.0,390623930756.0,-311456401818.0,-207161075486.0,-101154682486.0,400268039164.0,-308550737119.0,-206293704304.0,-103741526114.0,336799127271.0,-255945944569.0,-166663284556.0,-80099668779.0,-328200851195.0,-242254316042.0,-129625189127.0,-79914367023.0,-329278843190.0,-251710513091.0,-152904134832.0,-70898711219.0,-305777706914.0,-221298569350.0,-151837770613.0,-66230674377.0,-267953466826.0,-200918060017.0,-136806615042.0,-68756426945.0,-313843129046.0,-230855097311.0,-155680440510.0,-65157700598.0,-316518459038.0,-237498389320.0,,,
13,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,5051098821.0,24651666591.0,9821092365.0,6604858958.0,3134454668.0,12735055229.0,9941362731.0,6786943502.0,3155979834.0,13595055523.0,10282233791.0,6410509666.0,2956527356.0,15258005425.0,13186858563.0,5905860764.0,2724689195.0,8890025828.0,7041546489.0,4497652182.0,2210633660.0,9561835760.0,6424605694.0,5930411245.0,5813210843.0,9626121399.0,7256644199.0,4340584511.0,2432086492.0,3538711089.0,3907986401.0,8096695326.0,988642219.0,13765924896.0,11088458799.0,,,
14,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,-487935141.0,3373909221.0,-2251820829.0,-2083640758.0,-1673509246.0,6353993714.0,-4608563806.0,-4277682393.0,-2605761773.0,8779308953.0,-6289767739.0,-4471021143.0,-1699080835.0,-13501228980.0,-12184310641.0,-11598602448.0,-2254320400.0,-6147835375.0,-5378105063.0,-3738506704.0,-2179504654.0,-6710714322.0,-4970058656.0,-4654853278.0,-3563230931.0,-4715547315.0,-3313951766.0,-1938280234.0,-1011906384.0,-8310674638.0,-3998046525.0,-2768365610.0,-786748000.0,-7184048560.0,-15018581387.0,,,
15,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 처분,,633836317.0,614545455.0,614545455.0,,,,,,405149481.0,232349481.0,232349481.0,232349481.0,480000000.0,480000000.0,480000000.0,,699999999.0,336363636.0,336363636.0,,681818181.0,318181818.0,309090909.0,309090909.0,2303242171.0,1703261217.0,1393181817.0,1047727272.0,638230965.0,20000000.0,322209731.0,20000000.0,385000000.0,1137674844.0,,,
16,entity00170558_udf_CF_202032316153443_CashFlowsFromUsedInInvestingActivities,매각예정자산의 처분,Proceeds from sales of Asset Held for Sale,현금흐름표 [abstract],투자활동현금흐름,매각예정자산의 처분,,23940000000.0,23940000000.0,23940000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,entity00170558_udf_CF_202032316320699_CashFlowsFromUsedInInvestingActivities,사업결합으로 인한 지출,cash outflow from business combination,현금흐름표 [abstract],투자활동현금흐름,사업결합으로 인한 지출,,-40110586000.0,-44462000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ifrs-full_InterestReceivedClassifiedAsInvestingActivities,이자수취,Interest received,현금흐름표 [abstract],투자활동현금흐름,이자수취,245742271.0,1068355175.0,837261234.0,519828983.0,304005376.0,1501410830.0,1275246610.0,923628552.0,306870303.0,977507197.0,720281094.0,457450062.0,222690968.0,1210334440.0,917324747.0,639049140.0,292868611.0,1625765877.0,1118884313.0,785460942.0,434982838.0,2740124344.0,2179419177.0,1445440771.0,865749918.0,4626685830.0,2609351277.0,1964226305.0,664140692.0,1614810830.0,1216241501.0,885796140.0,467557510.0,2130658230.0,1480171516.0,,,
19,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,7183726556.0,-164892746307.0,-96733223296.0,-78435587416.0,-7070990233.0,-186778624295.0,-124904351746.0,-121491543730.0,-2950350195.0,-218284527064.0,-135123389883.0,-43732643235.0,-35214241735.0,-39978987059.0,31298089560.0,-36129394971.0,47222201411.0,-213408380136.0,-154808032416.0,-120676844054.0,-2489611744.0,-327922715840.0,-218008754618.0,-165176343816.0,-69872878875.0,-372941069445.0,-351568880512.0,-266277077020.0,-161160091193.0,-75636507183.0,-154920678130.0,-82203500093.0,4537900722.0,30547165836.0,-41048173782.0,-78658992378.0,-65771589648.0,-49856907321.0
20,dart_ProceedsFromShortTermBorrowings,단기차입금의 순증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 순증가,,129438000000.0,129975000000.0,80070000000.0,,60000000000.0,58328202340.0,24440850.0,-73392713.0,330000000000.0,351672414351.0,290000000000.0,2904000000.0,259959281133.0,231329397655.0,166512776619.0,39016234085.0,-84361389149.0,-21921674971.0,14710676037.0,-4303420952.0,-17264971453.0,97152546017.0,129728980962.0,-1152026220.0,-151094997112.0,-151535707216.0,-119605292594.0,-157003727623.0,20398872549.0,-56220251249.0,11151091707.0,12338847464.0,89903282870.0,810662503339.0,,,
21,dart_ProceedsFromLongTermBorrowings,장기차입금의 순증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 순증가,-176856452.0,-536000000.0,,-134000000.0,,-670000000.0,,-125000000.0,-125000000.0,491000000.0,546000000.0,546000000.0,346000000.0,3861000000.0,2219000000.0,1831000000.0,1350000000.0,7019000000.0,4828000000.0,2222000000.0,2222000000.0,932000000.0,,,,,,,,,,,,60000000000.0,100000000000.0,,,
22,entity00170558_udf_CF_2020323163555843_CashFlowsFromUsedInFinancingActivities,유동성리스부채의 상환,"Repayment of Current
lease liabilities",현금흐름표 [abstract],재무활동현금흐름,유동성리스부채의 상환,-5376558583.0,-14914558066.0,,-6075925937.0,-2807421482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,Dividends paid,현금흐름표 [abstract],재무활동현금흐름,배당금의 지급,,259916854000.0,,,,230886664000.0,,,,409214507200.0,-351518823200.0,-293076168800.0,,-208032045200.0,-208032045200.0,-208032045200.0,,-148347918000.0,-148347918000.0,-148347918000.0,,-123613380720.0,-123613380720.0,-123613380720.0,,-78413785800.0,-78413785800.0,-78413785800.0,,-77841535800.0,-77841535800.0,-77841535800.0,,-79941535800.0,-76825443960.0,64755833910.0,58056954540.0,29750237200.0
24,dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동현금흐름,자기주식의 취득,,,,,,,,,,142055230500.0,-142055230500.0,-44024196300.0,,,,,,,,,,,-31477668300.0,-18552389700.0,-9240844700.0,,,,,,,,,,,46400005680.0,,85684960290.0
25,dart_ProceedsFromExerciseOfShareOptions,주식선택권행사,Proceeds from exercise of share options,현금흐름표 [abstract],재무활동현금흐름,주식선택권행사,17702790000.0,2176571800.0,2176571800.0,2176571800.0,668571800.0,2727420000.0,2727420000.0,1813920000.0,,14829108000.0,14829108000.0,12095208600.0,5238000000.0,4718014400.0,4718014400.0,4718014400.0,2473200000.0,5238160000.0,5238160000.0,4335437707.0,2903160000.0,3866020000.0,2534780000.0,2291320000.0,1529600000.0,4863450000.0,4189903765.0,2266303765.0,2115450000.0,12212200000.0,2726500000.0,,,,1893500000.0,,,
26,ifrs-full_InterestPaidClassifiedAsFinancingActivities,이자 지급,Interest paid,현금흐름표 [abstract],재무활동현금흐름,이자 지급,-4965648409.0,21139906041.0,-15825876909.0,-10104811279.0,-4932140551.0,17949380295.0,-12563866086.0,-7792736580.0,-3724877482.0,12334897364.0,-8596858534.0,-9273486735.0,-1731467435.0,-7192805692.0,-4071216295.0,-2849851790.0,-752171674.0,-4368142987.0,-3585711445.0,-2578151798.0,-958613792.0,-12673926737.0,-10728926073.0,-7463327310.0,-3567925418.0,-19017577533.0,-15392725261.0,-10274369391.0,-6105180570.0,-29906177932.0,-23168825081.0,-15263123000.0,-7635981347.0,-24754551948.0,-18088178195.0,,,
27,ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,현금및현금성자산의 증가(감소),Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,현금흐름표 [abstract],현금및현금성자산의 증가(감소),,86123228278.0,-8736780259.0,-2735917350.0,-1711695984.0,38431572462.0,-41163011931.0,-39816096926.0,-46242459505.0,72540212281.0,45623089013.0,36763073766.0,55096065683.0,63195198465.0,-49932634999.0,-16858839586.0,34491278423.0,95583407617.0,-30064556102.0,-30328258202.0,-36393891971.0,36577671374.0,-90379738532.0,-83471062551.0,-82237426734.0,-11333197982.0,87520447021.0,-3340345254.0,13957431139.0,64625151608.0,59267358556.0,-42343108398.0,7193716859.0,49737600826.0,20792186305.0,450032964.0,,,
28,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,60540530995.0,69353967482.0,69353967482.0,69353967482.0,69353967482.0,110298033482.0,110298033482.0,110298033482.0,110298033482.0,66306978853.0,66306978853.0,66306978853.0,66306978853.0,116307900077.0,116307900077.0,116307900077.0,116307900077.0,147363023267.0,147363023267.0,147363023267.0,147363023267.0,238665064539.0,238665064539.0,238665064539.0,238665064539.0,152411776291.0,152411776291.0,152411776291.0,152411776291.0,98223335061.0,98223335061.0,98223335061.0,98223335061.0,74592579381.0,77459105816.0,,,
29,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,-121090466.0,-76656228.0,1548083472.0,697753681.0,604885767.0,218945931.0,466974492.0,948582649.0,394511821.0,-1632034384.0,-284719037.0,-786579693.0,-2243679019.0,-68286225.0,-1886902649.0,-278438566.0,-406567689.0,-990567088.0,-489115667.0,-405881415.0,-609562307.0,-922302740.0,653053589.0,-1983858614.0,456382641.0,-1267158773.0,-203533979.0,1473529023.0,2265655408.0,-5078917326.0,4148933495.0,3258007003.0,-4671393674.0,2838569375.0,-619527677.0,,,
30,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,146542668807.0,60540530995.0,68166133604.0,68340025179.0,108390425711.0,69353967482.0,70948911048.0,65004156626.0,183232757584.0,110298033482.0,102785333582.0,120616464843.0,127258498299.0,66306978853.0,97562157842.0,150520739934.0,211484740005.0,116307900077.0,116545649398.0,110563249881.0,183331132334.0,147363023267.0,155847055577.0,154443779191.0,227788249198.0,238665064539.0,148867897058.0,167842736453.0,219302583307.0,152411776291.0,60029160158.0,108675058923.0,143289542213.0,98223335061.0,74592579381.0,,,
